asin,sentence,helpful,main_image_url,product_title
B00B0DWB62,Just what you would expect from the Little Tikes brand!,1.2,http://ecx.images-amazon.com/images/I/817iEr0lwtL.jpg,Little Tikes Anchors Away Pirate Ship Water Play Table
B000W7F5SS,"I loved all the magic that was done, and the special FX team did great.",2.0,http://ecx.images-amazon.com/images/I/91E7TPDbSfL.jpg,Harry Potter and the Order of the Phoenix (Widescreen Edition)
B00C30FCUI,Nowhere as clear as apple OEM.,0.8,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B001SEQPGK,Bought this camera after comparing few cameras in local electronics store.,0.6,http://ecx.images-amazon.com/images/I/71KLvmtcN9L.jpg,Sony Cyber-shot DSC-W290 12 MP Digital Camera with 5x Optical Zoom and Super Steady Shot Image Stabilization
B00000FCBH,which I'm sure you haven't even bothered to visit.,0.0,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B002JSM3KQ,"Great game, like first one I had.",1.6,http://ecx.images-amazon.com/images/I/915NTWZUtjL.jpg,Monopoly Board Game The Classic Edition
B00BLG5CSC,Sound quality is pretty good and cancels noise pretty well even though they aren't actually noise cancelling.,2.0,http://ecx.images-amazon.com/images/I/61QM9xk6X-L.jpg,Philips ActionFit Sports Earhook Headphones
0671015206,"It will make you rethink the way you see yourself, as well as the way you  think of accumulating wealth.",1.8,http://ecx.images-amazon.com/images/I/81U+NbG9TqL.jpg,The Millionaire Next Door
B00C30FCUI,The noise isolating quality is moderate.,1.5,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B00005LEOH,I probably shoot it the most at 5.6 just because I like a little bit more field of view and the sharpness is crystal at that length.,1.6,http://ecx.images-amazon.com/images/I/81zDW+9iIQL.jpg,Nikon 80-200mm f/2.8D ED AF Zoom Nikkor Lens for Nikon Digital SLR Cameras
0670012335,These are such nice books with short lessons for my 2 year old grandson.,1.7,http://ecx.images-amazon.com/images/I/A1ks6FGtr0L.jpg,Llama Llama Time to Share
B0017O3UHI,I have since moved in with my boyfriend who has Direct TV and installed this unit in the bedroom.,0.8,http://ecx.images-amazon.com/images/I/61k4i1jeQFL.jpg,Antennas Direct C2 ClearStream Television Antenna
B0000658L4,"and I think they might like it some day, but for now it's just too many pieces to pick up.",1.3,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
B002NKM4C2,It was in service in a family/entertainment room that is only used when entertaining guests.,1.0,http://ecx.images-amazon.com/images/I/71sr3IboLOL.jpg,Yamaha CD-C600BL 5-Disc CD Changer (Black)
B00C30FCUI,only last me about 2-3 months and were normally a lot more expensive.,0.9,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B00000FCBH,It's 1337(leet)Disc 1:Keep Ya Head,0.7,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B00000F1D3,I know then the things will go better.,0.5,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
0618871713,Can see myself re-reading this periodically.,1.0,http://ecx.images-amazon.com/images/I/81VWEyQoyrL.jpg,Fun Home: A Family Tragicomic
B000NP46K2,"The only real reason to purchase this lens is to get that wide-open shot,",1.6,http://ecx.images-amazon.com/images/I/41OuPC6mbgL.jpg,Canon EF 16-35mm f/2.8L II USM Ultra Wide Angle Zoom Lens
0399157867,"\"(Ms. Grafton began this series in the mid-1980's and has chosen not \"\"contemporize\"\" the story line",malls were big in that era),"when she spots a pair of shoplifters.\"",1.5
B007R3AZNK,Been a Joe Bonamassa fan for a while and have several of his CD's.,0.6,http://ecx.images-amazon.com/images/I/71T0MOGDaiL.jpg,Driving Towards The Daylight
B00081NX5U,The swivel mount is a great feature to move the direction of the speaker as needed.,1.7,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
B00000FCBH,2Pac is the king of rap with several of the greatest hits on it.,0.9,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B0000658L4,Arrived within the predicted time but sadly damaged.,1.6,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
0375703764,The hole is the core of experience.,0.7,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
0375703764,but I think they added to the substance of the book,0.8,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B000ANVPPQ,I always love the big brawls that all his movies have.,1.0,http://ecx.images-amazon.com/images/I/51VKBZFQRRL.jpg,McLintock! (Authentic Collector's Edition)
B00ITOAYOQ,hopefully this one will last,0.3,http://ecx.images-amazon.com/images/I/81RlNgh7ceL.jpg,"Nickelodeon, Paw Patrol - Ryder's Rescue ATV, Vehicle and Figure (works with Paw Patroller)"
0375703764,Kind of like a mix of stream of consciousness with HTML.,0.5,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B00092KD9C,Because the buckles can be positioned anywhere on the webbing it took me much fiddling about to adjust the overall length to what suited me and to get them equal on either side.,1.8,http://ecx.images-amazon.com/images/I/61rxbuyb3gL.jpg,OP/TECH USA 1504372 Pro Loop Strap (Royal)
B00B0DWB62,A couple of screws were missing (although they were easily sourced).,1.3,http://ecx.images-amazon.com/images/I/817iEr0lwtL.jpg,Little Tikes Anchors Away Pirate Ship Water Play Table
0375703764,"We've read ghost stories that raise goose bumps or makes you think of that thing you can't see when the lights go out, but The House of Leaves, is more than that.",1.6,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
0671700758,This is an excellent book that revolutionized self improvement books.,1.6,http://ecx.images-amazon.com/images/I/411zKO0BCRL.jpg,"Psycho-Cybernetics, A New Way to Get More Living Out of Life"
B00000J0JF,"Younger kids (say, less than 8) might struggle to be competitive against older ones, but it's fun for everyone.",1.7,http://ecx.images-amazon.com/images/I/A1uDIngqMDL.jpg,Ravensburger Labyrinth
B00C30FCUI,For me it wasn't a big deal.,1.3,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B000W7F5SS,The picture quality it horrible.,1.5,http://ecx.images-amazon.com/images/I/91E7TPDbSfL.jpg,Harry Potter and the Order of the Phoenix (Widescreen Edition)
B00L5LDWP8,"There's no option to talk to a person, only to return.",0.5,http://ecx.images-amazon.com/images/I/81JsQZ4OynL.jpg,Radio Flyer Little Toy Wagon
B003G9ZQQA,"The box set has poorly colored dominoes and the trains that you use for up to eight players are basically the same (2 light gold color, two silver and two pewter).",1.5,http://ecx.images-amazon.com/images/I/71UfDbZMb9L.jpg,Mexican Train Dominoes
B000W7F5SS,"actually had me on the edge of my seat, and I've read the book several times.",1.0,http://ecx.images-amazon.com/images/I/91E7TPDbSfL.jpg,Harry Potter and the Order of the Phoenix (Widescreen Edition)
B00DPKQ60A,I on the other hand think its pretty blaa,1.2,http://ecx.images-amazon.com/images/I/61gkJ76UizL.jpg,Yours Truly
0375703764,"The cover had been detached at some point, and been reattached with some tape.",1.2,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B0017O3UHI,ones that do are very clear.,0.91,http://ecx.images-amazon.com/images/I/61k4i1jeQFL.jpg,Antennas Direct C2 ClearStream Television Antenna
B00CKH9URU,I was very satisfied with the quality of product for the price.,1.7,http://ecx.images-amazon.com/images/I/7178tVWycxL.jpg,Max Steel Interactive Steel with Turbo Sword
B00NAPJ8DM,My 6 year old grandson was thrilled when these arrived.,1.3,http://ecx.images-amazon.com/images/I/51iuUDn1osL.jpg,Building Bricks - 1000 pc Bulk Blocks w 54 Roof Pieces and Better Variety - Tight Fit with All Brands
B000002KB8,People always seem to disagree about which was the first heavy metal album.,0.4,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B00000JZC7,"This is one of the few Cd's I crave, if I have not heard it for awhile...",1.0,http://ecx.images-amazon.com/images/I/715b4h8ZKJL.jpg,Bitter
B000W7F5SS,It's been a rough journey.,0.1,http://ecx.images-amazon.com/images/I/91E7TPDbSfL.jpg,Harry Potter and the Order of the Phoenix (Widescreen Edition)
B00C30FCUI,The cord is a little longer than mine,1.1,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
0553391135,I try to pre- order her books,0.8,http://ecx.images-amazon.com/images/I/517vIw4438L.jpg,Love Letters: A Rose Harbor Novel
0671700758,He told me that ...a guy who owned an insurance agency...that his son read this book and then started his own insurance office.,0.8,http://ecx.images-amazon.com/images/I/411zKO0BCRL.jpg,"Psycho-Cybernetics, A New Way to Get More Living Out of Life"
B000OG88NQ,No problems using them with my 5 x 100 watt receiver.,1.2,http://ecx.images-amazon.com/images/I/31T-cEmAjuL.jpg,Sony SS-CR3000 Center and Rear Channel Speaker Package
1402241372,"\"\"\"My heart will be forever held in this place\"\"\"",0.3,http://ecx.images-amazon.com/images/I/51gMZ3KRoML.jpg,The Winter Sea
B00000FCBH,"You cant go wrong, when listing to this cd or any of his other songs as well.",1.3,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B00081NX5U,I have these on a back deck,0.2,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
B002ZG99CC,PART THIS ONE IS FAR BETTER THAN THE ORIGINAL...,1.2,http://ecx.images-amazon.com/images/I/91z8IaTWVJL.jpg,The Karate Kid
B000002KB8,Many say that this lp was one of THE most influential heavy rock albums of all time.,0.8,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B0061ZFWBU,I purchased these for my son who is 6yrs old.,0.5,http://ecx.images-amazon.com/images/I/61HR6WxXX1L.jpg,Connectland Stereo Wired Headphone & Microphone Lightweight 40mm Speaker Music Gaming Stylish Teal CL-AUD63035
0375703764,I read this when I happened to be living in a real life parallel circumstance to the primary narrator.,1.1,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
0451414047,"This book is very private, very intimate, and the stories he shares are just beautiful.",1.9,http://ecx.images-amazon.com/images/I/51kOlFQ7DpL.jpg,"To Selena, with Love"
